dim0,dim1,dim2,dim3,y
,,2.2806,1.0323,0.0
-1.6952,,8.8294,,0.0
,10.7271,,-5.6504,0.0
1.8799,2.4707,2.4931,0.37671,0.0
3.583,,3.4391,-0.12501,0.0
0.19081,9.1297,-3.725,-5.8224,0.0
3.6582,5.6864,-1.7157,-0.23751,0.0
,-1.7775,,0.35214,0.0
,9.798,-3.0361,-2.8224,0.0
1.6426,3.0149,0.22849,-0.147,0.0
-0.11783,,8.03,-0.028031,0.0
-0.69572,8.6165,1.8419,-4.3289,0.0
2.9421,7.4101,-0.97709,-0.88406,0.0
-1.7559,11.9459,,-4.8978,0.0
,10.8803,,-4.3237,0.0
,-4.4614,,-0.15087,0.0
1.8314,6.3672,,0.049554,0.0
4.5645,-3.6275,,0.27714,0.0
2.7365,-5.0325,6.6608,-0.57889,0.0
0.9297,-3.7971,4.6429,-0.2957,0.0
,,-4.1131,-4.6056,0.0
,-0.08485,,0.59136,0.0
4.8272,3.0687,0.68604,0.80731,0.0
-2.341,,0.70403,-7.5836,0.0
-1.8584,7.886,-1.6643,,0.0
,7.257,,-0.86078,0.0
1.9157,,0.23705,-2.0116,0.0
,-2.1914,2.4648,1.1409,0.0
5.8862,5.8747,-2.8167,-0.30087,0.0
-2.0897,10.8265,2.3603,-3.4198,0.0
4.0026,-3.5943,3.5573,0.26809,0.0
-0.78689,9.5663,,-7.5034,0.0
4.1757,10.2615,,-4.3056,0.0
,,0.65005,-0.92544,0.0
4.8077,2.2327,-0.26334,1.5534,0.0
5.3063,5.2684,-2.8904,-0.52716,0.0
2.5605,9.2683,,,0.0
,7.6046,-0.47755,-1.8461,0.0
2.1721,-0.73874,5.4672,,0.0
4.2899,9.1814,-4.6067,-4.3263,0.0
3.5156,,-4.2759,-4.978,0.0
2.614,,-3.7258,-1.3069,0.0
0.68087,2.3259,,,0.0
4.1962,0.74493,,0.753,0.0
6.0919,2.9673,-1.3267,1.4551,0.0
1.3234,3.2964,0.2362,-0.11984,0.0
,1.0326,5.6566,,0.0
-0.16735,7.6274,,,0.0
,,-2.953,-5.8638,0.0
-2.2261,12.5398,2.9438,-3.5258,0.0
2.4196,6.4665,,0.228,0.0
1.0987,0.6394,5.989,-0.58277,0.0
4.6464,,-4.5852,-4.206,0.0
-0.36038,4.1158,3.1143,-0.37199,0.0
,,4.3465,0.78662,0.0
,-0.0248,1.2421,,0.0
-2.6479,,-1.331,-5.4707,0.0
3.1219,-3.137,1.9259,,0.0
,1.5478,0.041694,,0.0
-1.3389,1.552,,,0.0
-2.3361,,3.0835,,0.0
2.2596,-0.033118,,-0.2776,0.0
0.46901,-0.63321,,,0.0
2.7296,,0.51124,,0.0
2.0466,2.03,,-0.083634,0.0
-1.3274,,2.4408,-5.2689,0.0
,,2.6302,1.1047,0.0
3.9994,0.90427,1.1693,1.6892,0.0
2.3952,9.5083,,-3.0086,0.0
3.2704,6.9321,-1.0456,0.23447,0.0
-1.3931,1.5664,7.5382,0.78403,0.0
1.6406,3.5488,1.3964,-0.36424,0.0
2.7744,,,0.075416,0.0
,9.3821,-3.2477,,0.0
4.2134,-2.806,,0.67412,0.0
,0.48213,4.7449,1.225,0.0
2.0597,-0.99326,5.2119,-0.29312,0.0
,0.7098,0.7572,-0.4444,0.0
1.0135,8.4551,,-2.0815,0.0
4.5691,-4.4552,,0.0042961,0.0
0.57461,10.1105,,-4.3922,0.0
0.5734,,-0.9094,-1.872,0.0
,3.257,-1.3721,,0.0
4.0102,10.6568,-4.1388,-5.0646,0.0
,-3.6792,3.8281,1.6297,0.0
3.0934,-2.9177,,,0.0
2.2034,5.9947,,,0.0
3.744,,,1.0077,0.0
3.0329,2.2948,2.1135,0.35084,0.0
3.7731,7.2073,-1.6814,,0.0
,2.8908,0.59693,0.79825,0.0
1.8114,7.6067,-0.9788,-2.4668,0.0
4.988,7.2052,-3.2846,-1.1608,0.0
2.483,6.6155,,,0.0
,4.7055,1.3758,0.081882,0.0
,,0.15394,-1.6134,0.0
3.8496,,-4.1508,,0.0
0.9297,-3.7971,4.6429,-0.2957,0.0
4.9342,,-0.17594,1.6245,0.0
3.8417,10.0215,-4.2699,-4.9159,0.0
5.3915,9.9946,-3.8081,-3.3642,0.0
4.4072,-0.070365,2.0416,1.1319,0.0
2.6946,,-0.40301,0.44912,0.0
5.2756,0.13863,0.12138,1.1435,0.0
3.4312,6.2637,-1.9513,-0.36165,0.0
4.052,,0.45383,0.51248,0.0
,-4.7759,8.4182,-1.8836,0.0
0.89566,7.7763,-2.7473,,0.0
,7.7557,,-3.0771,0.0
0.20977,-0.46146,7.7267,,0.0
,-2.9363,2.1992,0.50084,0.0
,,3.6259,-0.32544,0.0
,-0.89808,8.0883,0.69222,0.0
-1.3,10.2678,-2.953,,0.0
1.7747,-6.4334,8.15,-0.89828,0.0
1.3419,-4.4221,8.09,-1.7349,0.0
0.89606,10.5471,-1.4175,-4.0327,0.0
,2.9487,4.3225,0.7155,0.0
,6.2265,0.12224,-1.4466,0.0
2.5678,3.5136,0.61406,-0.40691,0.0
-2.2153,11.9625,,,0.0
4.1349,6.1189,,-0.19613,0.0
1.934,,4.816,,0.0
2.5068,,3.9249,0.12585,0.0
2.1464,,-0.5778,-2.2302,0.0
0.051979,7.0521,-2.0541,,0.0
1.2706,8.035,-0.19651,-2.1888,0.0
1.143,0.83391,5.4552,-0.56984,0.0
2.2928,9.0386,,-1.2991,0.0
0.3292,-4.4552,4.5718,,0.0
,6.8369,-0.2702,,0.0
1.6849,8.7489,-1.2641,-1.3858,0.0
-1.9177,,2.5454,-3.2763,0.0
,10.4726,-3.0087,-3.2013,0.0
1.0284,,-1.3687,,0.0
0.27451,,-3.2863,-4.8448,0.0
,-4.7863,8.5193,-2.1203,0.0
,10.1788,-4.2185,-4.4245,0.0
,7.6956,,-1.0767,0.0
4.0215,-2.7004,2.4957,,0.0
5.0297,-4.9704,3.5025,-0.23751,0.0
1.5902,2.2948,3.2403,0.18404,0.0
2.1274,,-1.7971,-1.1763,0.0
1.1811,8.3847,-2.0567,,0.0
,-4.4552,4.5718,,0.0
5.7353,5.2808,-2.2598,0.075416,0.0
2.6718,5.6574,0.72974,-1.4892,0.0
1.5799,-4.7076,,-1.5487,0.0
,2.2493,1.3458,-0.037083,0.0
0.5195,-3.2633,3.0895,,0.0
3.7352,9.5911,-3.9032,-3.3487,0.0
-1.7344,,7.7618,0.93532,0.0
,,-3.9298,-4.0819,0.0
3.5257,1.2829,1.9276,,0.0
4.4549,2.4976,1.0313,0.96894,0.0
-0.16108,-6.4624,,-1.5216,0.0
4.2164,9.4607,,-5.2366,0.0
3.5152,6.8224,,-0.46898,0.0
1.6988,2.9094,2.9044,,0.0
1.0607,2.4542,2.5188,,0.0
2.0421,1.2436,4.2171,,0.0
3.5594,1.3078,1.291,1.6556,0.0
3.0009,5.8126,,,0.0
3.9294,1.4112,1.8076,0.89782,0.0
3.4667,-4.0724,,1.5418,0.0
3.966,,,0.33662,0.0
1.0191,,4.9334,0.82929,0.0
0.96414,5.616,2.2138,-0.12501,0.0
1.8205,,0.0099913,0.39481,0.0
,7.8653,-2.3515,-0.71984,0.0
-1.1804,11.5093,0.15565,-6.8194,0.0
4.0329,,,1.1823,0.0
0.66018,10.3878,,,0.0
3.5982,7.1307,-1.3035,0.21248,0.0
-1.8584,7.886,-1.6643,,0.0
,0.46972,,0.91593,0.0
3.3299,0.91254,1.5806,,0.0
3.1088,3.1122,0.80857,,0.0
-4.2859,,3.1392,,0.0
-1.2528,10.2036,2.1787,,0.0
0.5195,,,-0.9849,0.0
0.3292,,4.5718,,0.0
0.88872,5.3449,,,0.0
3.5458,,,-3.9564,0.0
,8.0329,,-3.8853,0.0
2.7206,,-3.3111,-0.96811,0.0
3.2051,,,-0.7819,0.0
2.6917,10.8161,,-4.2888,0.0
-2.3242,11.5176,,,0.0
,-4.2006,4.1914,0.16981,0.0
3.3848,3.2674,0.90967,0.25128,0.0
1.7452,4.8028,2.0878,0.62627,0.0
2.805,0.57732,,,0.0
5.7823,5.5788,-2.4089,-0.056479,0.0
3.8999,1.734,1.6011,0.96765,0.0
3.5189,,,-0.020273,0.0
3.2294,7.7391,,-2.5405,0.0
3.4985,3.1639,0.22677,-0.1651,0.0
2.1948,1.3781,1.1582,0.85774,0.0
2.2526,9.9636,,-2.9944,0.0
,-3.9358,2.8633,-0.017686,0.0
0.74307,11.17,-1.3824,,0.0
1.9105,,-2.3386,,0.0
,0.070346,,-0.50648,0.0
0.58836,10.7727,-1.3884,-4.3276,0.0
3.2303,7.8384,,,0.0
-1.9922,11.6542,,-5.2107,0.0
2.8523,9.0096,-3.761,,0.0
4.2772,2.4955,0.48554,0.36119,0.0
1.5099,0.039307,6.2332,-0.30346,0.0
5.4188,10.1457,,-3.6991,0.0
0.86202,2.6963,4.2908,0.54739,0.0
3.8117,10.1457,-4.0463,,0.0
0.54777,10.3754,,-4.1633,0.0
2.3718,7.4908,0.015989,,0.0
,11.1472,1.9353,-3.4638,0.0
4.6361,,2.8358,1.1991,0.0
-2.2527,11.5321,,-3.2737,0.0
3.7982,,,-4.9728,0.0
-0.36279,8.2895,-1.9213,,0.0
2.1265,6.8783,0.44784,-2.2224,0.0
,5.5643,,-0.16769,0.0
,10.0526,-3.8869,,0.0
-2.2623,12.1177,,,0.0
,4.4303,,-1.7517,0.0
2.6799,3.1349,0.34073,,0.0
-0.39816,5.9781,1.3912,-1.1621,0.0
4.3937,0.35798,2.0416,1.2004,0.0
2.9695,5.6222,,-1.1556,0.0
,-0.15521,6.4911,-0.75346,0.0
2.2123,-5.8395,7.7687,-0.85302,0.0
,6.9383,,0.66377,0.0
3.0864,-2.5845,2.2309,0.30947,0.0
0.3798,,,-0.4444,0.0
0.58982,,1.2353,-2.9595,0.0
0.14783,7.946,1.0742,-3.3409,0.0
-0.062025,,1.099,-1.131,0.0
,1.1319,,0.96118,0.0
0.64295,7.1018,,,0.0
1.941,0.46351,4.6472,1.0879,0.0
4.0047,,1.3621,1.6181,0.0
3.7767,,,-3.5323,0.0
3.4769,-0.15314,2.53,2.4495,0.0
1.9818,9.2621,-3.521,-1.872,0.0
3.8023,-3.8696,4.044,0.95343,0.0
4.3483,,,-4.2539,0.0
1.1518,1.3864,5.2727,-0.43536,0.0
-1.2576,1.5892,7.0078,0.42455,0.0
1.9572,-5.1153,8.6127,-1.4297,0.0
,,2.8204,-3.7418,0.0
-1.1497,,7.701,0.62627,0.0
4.8368,10.0132,,,0.0
-0.12196,,,-4.2267,0.0
,6.3961,,0.58102,0.0
1.742,-4.809,,-2.0659,0.0
-1.5222,10.8409,,,0.0
-1.3,10.2678,,-5.8638,0.0
3.4246,,0.80342,,0.0
2.5503,,,-0.41596,0.0
1.5691,6.3465,-0.1828,,0.0
1.3087,4.9228,2.0013,,0.0
5.1776,,-3.2511,,0.0
2.229,9.6325,-3.1123,-2.7164,0.0
5.6272,10.0857,,,0.0
,8.7986,-2.1672,-0.74182,0.0
0.3798,0.7098,,-0.4444,0.0
0.5415,,1.6825,,0.0
,,-1.9693,0.026279,0.0
4.7285,2.1065,-0.28305,1.5625,0.0
3.4359,0.66216,,1.8922,0.0
,10.2429,,-4.0082,0.0
3.359,9.8022,,-3.7133,0.0
3.6702,2.9942,0.85141,,0.0
1.3349,6.1189,,,0.0
3.1887,-3.4143,2.7742,-0.2026,0.0
,2.9653,0.20021,,0.0
3.9121,2.9735,0.92852,0.60558,0.0
3.9364,10.5885,-3.725,-4.3133,0.0
,-3.2902,,1.0866,0.0
3.6922,,4.3439,1.3517,0.0
,,-2.6848,-0.92544,0.0
0.77124,9.0862,-1.2281,,0.0
3.5761,,-3.9795,,0.0
1.602,6.1251,0.52924,0.47886,0.0
2.6682,10.216,,,0.0
2.0007,1.8644,2.6491,0.47369,0.0
0.64215,3.1287,4.2933,0.64696,0.0
4.3848,-3.0729,3.0423,1.2741,0.0
0.77445,9.0552,-2.4089,,0.0
0.96574,8.393,-1.361,-1.4659,0.0
3.0948,,-2.9007,,0.0
,7.6046,-2.3429,,0.0
-1.9458,11.2217,1.9079,-3.4405,0.0
5.7403,-0.44284,0.38015,,0.0
-2.6989,12.1984,,-8.5482,0.0
,3.5985,1.9387,-0.43406,0.0
2.9742,8.96,-2.9024,-1.0379,0.0
4.5707,7.2094,,,0.0
0.1848,,2.0133,,0.0
0.87256,,-0.7843,,0.0
0.39559,,1.0588,-0.67587,0.0
3.8384,6.1851,-2.0439,-0.033204,0.0
,,-0.81857,-1.8784,0.0
,9.7546,-3.1749,,0.0
3.8213,0.23175,2.0133,,0.0
0.3798,0.7098,,-0.4444,0.0
3.4893,6.69,-1.2042,-0.38751,0.0
,,7.1303,0.027572,0.0
,2.4769,,-0.040962,0.0
0.94732,-0.57113,7.1903,-0.67587,0.0
2.8261,9.4007,,,0.0
,8.3661,0.50781,-3.8155,0.0
0.96788,7.1907,1.2798,,0.0
4.7432,,,1.6543,0.0
,7.2797,-2.2692,-1.144,0.0
3.8832,6.4023,-2.432,,0.0
3.4776,8.811,,,0.0
1.1315,7.9212,1.093,,0.0
2.8237,2.8597,0.19678,,0.0
1.9321,6.0423,0.26019,-2.053,0.0
3.0632,-3.3315,,0.8267,0.0
-1.8411,10.8306,2.769,-3.0901,0.0
,11.3045,-3.3394,-4.4194,0.0
2.5698,-4.4076,5.9856,,0.0
-0.12624,,-3.7121,-6.1185,0.0
,-4.0951,4.367,,0.0
,,8.4756,0.75558,0.0
0.5706,-0.0248,,-0.5621,0.0
0.88444,6.5906,0.55837,-0.44182,0.0
3.8644,3.7061,0.70403,0.35214,0.0
1.2999,,2.0107,-0.18967,0.0
,-6.8638,8.132,,0.0
4.9294,0.27727,0.20792,,0.0
2.8297,6.3485,-0.73546,-0.58665,0.0
2.565,,-2.9941,,0.0
2.093,8.3061,,-3.2724,0.0
4.6014,,-2.1235,0.19309,0.0
5.0617,-0.35799,0.44698,,0.0
-0.2951,,,-2.0789,0.0
,,1.8908,0.73231,0.0
,2.5017,1.5215,0.903,0.0
2.6648,10.754,,-4.1685,0.0
5.9374,,-2.5905,-0.36553,0.0
2.0153,1.8479,3.1375,0.42843,0.0
,,-2.8544,-0.60863,0.0
-2.3983,12.606,2.9464,-5.7888,0.0
1.762,4.3682,2.1384,0.75429,0.0
4.2406,-2.4852,1.608,0.7155,0.0
3.4669,6.87,-1.0568,-0.73147,0.0
3.1896,5.7526,-0.18537,-0.30087,0.0
0.81356,9.1566,-2.1492,-4.1814,0.0
0.52855,,,-1.0483,0.0
2.1319,-2.0403,2.5574,-0.061652,0.0
0.33111,4.5731,2.057,-0.18967,0.0
1.2746,8.8172,-1.5323,-1.7957,0.0
2.2091,7.4556,-1.3284,,0.0
2.5328,,-0.41929,-2.6478,0.0
,1.4609,1.3501,1.9284,0.0
-1.3885,12.5026,0.69118,-7.5487,0.0
5.7227,5.8312,-2.4097,,0.0
,10.3567,-3.7301,-3.6991,0.0
2.5227,,,0.79438,0.0
0.045304,6.7334,,-0.9332,0.0
4.8278,7.7598,,-1.2216,0.0
1.9476,,8.527,-1.8668,0.0
2.7659,0.66216,4.1494,-0.28406,0.0
,-0.76771,7.7575,0.64179,0.0
,-0.053811,5.6703,-1.3509,0.0
,1.4816,-0.48355,,0.0
3.9772,,,2.1625,0.0
3.6667,4.302,0.55923,0.33791,0.0
2.8232,10.8513,,-3.9784,0.0
,11.6542,-0.057699,,0.0
4.2458,1.1981,,0.94696,0.0
4.1038,-4.8069,3.3491,-0.49225,0.0
1.4507,8.7903,-2.2324,-0.65259,0.0
3.4647,-3.9172,3.9746,,0.0
1.8533,6.1458,1.0176,-2.0401,0.0
,,1.9507,1.9375,0.0
3.9719,,0.75973,1.0013,0.0
,9.3614,-3.6316,-1.2461,0.0
,9.887,-4.0788,,0.0
3.0672,-4.4117,3.8238,,0.0
2.6463,,6.3549,0.003003,0.0
2.2893,3.733,,-0.39786,0.0
,7.9274,-0.056842,-2.1694,0.0
4.0405,0.51524,,1.106,0.0
4.3846,-4.8794,3.3662,-0.029324,0.0
2.0165,-0.25246,5.1707,1.0763,0.0
4.0446,11.1741,-4.3582,,0.0
-0.33729,-0.64976,,0.72326,0.0
-2.4604,12.7302,0.91738,-7.6418,0.0
4.1195,10.9258,,-4.1802,0.0
,0.82356,,1.4202,0.0
1.5701,7.9129,0.29018,-2.1953,0.0
,7.586,-0.28562,-1.6677,0.0
5.0214,,,-1.7155,0.0
4.3435,3.3295,0.83598,0.64955,0.0
1.8238,,8.3873,-0.54139,0.0
3.9382,0.9291,0.78543,0.6767,0.0
2.2517,-5.1422,,-1.2487,0.0
5.504,10.3671,-4.413,-4.0211,0.0
2.8521,,-3.6461,-1.2047,0.0
1.1676,9.1566,-2.0867,-0.80647,0.0
2.6104,,-0.23592,,0.0
0.32444,10.067,,-4.1284,0.0
,,3.3954,-0.53751,0.0
2.1752,-0.8091,,,0.0
1.1588,8.9331,-2.0807,-1.1272,0.0
4.7072,8.2957,-2.5605,-1.4905,0.0
-1.9667,11.8052,-0.40472,-7.8719,0.0
4.0552,0.40143,,0.65343,0.0
2.3678,-6.839,8.4207,-0.44829,0.0
0.33565,6.8369,0.69718,-0.55691,0.0
4.3398,-5.3036,3.8803,,0.0
,8.5482,0.4187,-2.1784,0.0
1.4276,8.3847,-2.0995,-1.9677,0.0
-0.27802,8.1881,-3.1338,-2.5276,0.0
0.93611,,-1.6351,-1.3043,0.0
4.6352,-3.0087,2.6773,1.212,0.0
1.5268,-5.5871,8.6564,-1.722,0.0
0.95626,2.4728,4.4578,0.21636,0.0
,,6.7756,-0.39915,0.0
5.2032,3.5116,-1.2538,1.0129,0.0
,7.2321,-1.0713,,0.0
,5.1815,1.0673,,0.0
5.6084,10.3009,-4.8003,-4.3534,0.0
1.105,7.4432,0.41099,-3.0332,0.0
3.9292,-2.9156,,,0.0
1.1558,,1.5506,0.6961,0.0
2.5581,2.6218,1.8513,0.40257,0.0
2.7831,10.9796,-3.557,-4.4039,0.0
3.7635,2.7811,,0.34179,0.0
-2.6479,,-1.331,-5.4707,0.0
1.0652,8.3682,-1.4004,-1.6509,0.0
-1.4275,,0.41613,-6.9978,0.0
5.7456,10.1808,-4.7857,,0.0
5.086,3.2798,,1.1189,0.0
3.4092,5.4049,-2.5228,-0.89958,0.0
,9.3221,2.1307,-4.3793,0.0
3.8197,,-4.383,-4.0327,0.0
-1.1391,1.8127,6.9144,0.70127,0.0
4.9249,,,1.2095,0.0
,,-0.029423,0.44912,0.0
-0.2062,,-3.7044,,0.0
3.946,6.8514,-1.5443,-0.5582,0.0
-0.278,8.1881,-3.1338,-2.5276,0.0
1.8592,3.2074,,-0.26208,0.0
0.56953,,1.5754,,0.0
3.4626,-4.449,3.5427,0.15429,0.0
3.3951,,2.1401,2.0862,0.0
5.0429,-0.52974,0.50439,1.106,0.0
,7.1783,-1.5195,0.40128,0.0
4.6562,,-2.4243,-1.2384,0.0
4.0948,-2.9674,2.3689,,0.0
1.8384,6.063,0.54723,0.51248,0.0
,0.43661,,-0.3151,0.0
3.5251,0.7201,,0.64438,0.0
,,3.8255,-1.2526,0.0
2.5989,3.5178,,0.81119,0.0
1.8994,0.97462,,0.81377,0.0
3.6941,-3.9482,4.2625,1.1577,0.0
4.4295,-2.3507,,0.90946,0.0
6.8248,5.2187,,0.5461,0.0
1.8967,,2.8093,-0.79742,0.0
2.1526,,8.0831,-0.34355,0.0
3.3004,7.0811,-1.3258,,0.0
2.7213,7.05,-0.58808,,0.0
3.8846,,,0.20214,0.0
4.1665,,0.23448,0.27843,0.0
0.94225,5.8561,,-0.32544,0.0
5.1321,-0.031048,0.32616,1.1151,0.0
0.38251,6.8121,1.8128,-0.61251,0.0
,,2.3183,0.303,0.0
,,-0.11168,-0.58665,0.0
1.162,,,-4.0392,0.0
,,1.3098,0.5655,0.0
0.77765,5.9781,1.1941,,0.0
-0.38388,,8.0514,,0.0
0.21084,9.4359,-0.094543,-1.859,0.0
2.9571,-4.5938,,,0.0
4.6439,-3.3729,2.5976,0.55257,0.0
3.3577,-4.3062,6.0241,0.18274,0.0
,,1.0579,0.40774,0.0
2.6562,10.7044,-3.3085,-4.0767,0.0
,10.694,1.7022,-2.9026,0.0
-0.278,8.1881,-3.1338,,0.0
1.04,-6.9321,8.2888,-1.2991,0.0
,2.7356,1.3278,-0.1832,0.0
4.2756,-2.6528,2.1375,,0.0
-0.11996,6.8741,0.91995,-0.6694,0.0
2.9736,,-3.6359,-1.3754,0.0
3.7798,,2.6491,0.066365,0.0
5.3586,3.7557,-1.7345,1.0789,0.0
1.8373,6.1292,,0.55257,0.0
1.2262,0.89599,5.7568,-0.11596,0.0
