dim0,dim1,y
,736424.0,8.0
57030.0,540887.0,6.0
57019.0,803510.0,9.0
57009.0,323638.0,4.0
57008.0,347717.0,4.0
57003.0,926109.0,10.0
56980.0,326203.0,4.0
,45004.0,1.0
56966.0,233726.0,3.0
56944.0,,2.0
,660847.0,7.0
56928.0,,4.0
,951602.0,10.0
56917.0,,9.0
56913.0,914756.0,10.0
56910.0,,3.0
56908.0,,3.0
56905.0,,7.0
,42595.0,1.0
56884.0,438530.0,5.0
56880.0,55336.0,1.0
56879.0,,2.0
56850.0,,9.0
56847.0,,1.0
56825.0,819022.0,9.0
56822.0,178538.0,2.0
56782.0,469850.0,5.0
,242932.0,3.0
56776.0,261876.0,3.0
56768.0,,10.0
56737.0,443676.0,5.0
,541825.0,6.0
,243890.0,3.0
,385799.0,4.0
56664.0,,5.0
,350580.0,4.0
56662.0,,7.0
,346168.0,4.0
56638.0,,5.0
,907306.0,10.0
56619.0,71866.0,1.0
56604.0,447935.0,5.0
56595.0,,1.0
56573.0,196943.0,2.0
56572.0,,7.0
56565.0,165265.0,2.0
56560.0,856729.0,9.0
56551.0,,8.0
56543.0,,10.0
56518.0,72709.0,1.0
,64915.0,1.0
56496.0,410687.0,5.0
56477.0,516350.0,6.0
56477.0,605042.0,7.0
56464.0,,7.0
,442440.0,5.0
56425.0,,3.0
,967378.0,10.0
,683530.0,8.0
56418.0,,7.0
,736306.0,8.0
56367.0,349108.0,4.0
56360.0,621186.0,7.0
56352.0,,5.0
,342652.0,4.0
56331.0,423620.0,5.0
56328.0,540222.0,6.0
,88602.0,1.0
56278.0,620127.0,7.0
56269.0,569573.0,6.0
,884021.0,10.0
56223.0,567808.0,6.0
,623365.0,7.0
56215.0,318157.0,4.0
56161.0,716761.0,8.0
,137812.0,2.0
,605070.0,7.0
56146.0,272692.0,3.0
56140.0,914731.0,10.0
56133.0,,1.0
56090.0,927137.0,10.0
56087.0,685441.0,8.0
,574677.0,6.0
56071.0,,2.0
56067.0,,7.0
56066.0,,3.0
56053.0,332655.0,4.0
,610595.0,7.0
,736383.0,8.0
56039.0,454830.0,5.0
56026.0,844723.0,9.0
56016.0,366240.0,4.0
56015.0,198947.0,2.0
55990.0,723038.0,8.0
,191383.0,2.0
,344245.0,4.0
,690689.0,8.0
55958.0,544164.0,6.0
55952.0,659824.0,7.0
,878442.0,10.0
55949.0,92697.0,1.0
55946.0,,7.0
55943.0,199953.0,2.0
55928.0,,10.0
55896.0,660104.0,7.0
,841456.0,9.0
55885.0,353740.0,4.0
55881.0,410108.0,5.0
55878.0,,3.0
,203407.0,2.0
55837.0,,10.0
55824.0,834525.0,9.0
55815.0,96388.0,1.0
,541978.0,6.0
,933958.0,10.0
,88583.0,1.0
55755.0,920335.0,10.0
55754.0,,6.0
55740.0,296300.0,3.0
,660293.0,7.0
,265291.0,3.0
,69392.0,1.0
,134368.0,2.0
55704.0,806221.0,9.0
,300328.0,3.0
55693.0,178245.0,2.0
55687.0,810522.0,9.0
55662.0,247506.0,3.0
,925638.0,10.0
,448782.0,5.0
55649.0,,6.0
55638.0,467218.0,5.0
55631.0,,3.0
55624.0,,3.0
55613.0,456136.0,5.0
55613.0,530751.0,6.0
55608.0,267097.0,3.0
,361001.0,4.0
55606.0,,6.0
,821584.0,9.0
55590.0,,9.0
55588.0,,5.0
55586.0,,3.0
55572.0,,3.0
55571.0,658842.0,7.0
55562.0,925656.0,10.0
55557.0,632857.0,7.0
,86162.0,1.0
55540.0,,1.0
,197156.0,2.0
55531.0,,5.0
55525.0,894233.0,10.0
55507.0,,2.0
55500.0,59060.0,1.0
55496.0,,4.0
,549397.0,6.0
55491.0,966782.0,10.0
,166517.0,2.0
55440.0,,5.0
55436.0,,2.0
55432.0,810488.0,9.0
55430.0,,6.0
55415.0,525900.0,6.0
55407.0,,3.0
55406.0,331327.0,4.0
55404.0,172450.0,2.0
55385.0,836208.0,9.0
,446674.0,5.0
,445426.0,5.0
,166013.0,2.0
55375.0,340375.0,4.0
55351.0,83291.0,1.0
,170684.0,2.0
55346.0,,8.0
55334.0,,8.0
55329.0,240335.0,3.0
55306.0,102168.0,1.0
,660261.0,7.0
55277.0,826104.0,9.0
,529283.0,6.0
55249.0,,1.0
55245.0,629367.0,7.0
55200.0,585401.0,6.0
55172.0,241962.0,3.0
,382779.0,4.0
,375742.0,4.0
55158.0,70967.0,1.0
55152.0,,1.0
55147.0,,2.0
55146.0,468324.0,5.0
55119.0,,8.0
,841429.0,9.0
55097.0,,7.0
55088.0,883979.0,10.0
55085.0,717059.0,8.0
,531471.0,6.0
55081.0,,3.0
55062.0,676852.0,7.0
55033.0,354998.0,4.0
55021.0,266734.0,3.0
55012.0,,8.0
,721173.0,8.0
,387811.0,4.0
54972.0,,7.0
54966.0,80066.0,1.0
54946.0,644666.0,7.0
54935.0,910796.0,10.0
54923.0,84227.0,1.0
54909.0,,5.0
54909.0,908651.0,10.0
,562259.0,6.0
54876.0,,3.0
,834185.0,9.0
,725688.0,8.0
54839.0,,4.0
54839.0,556844.0,6.0
54819.0,746890.0,8.0
,329672.0,4.0
54793.0,,9.0
,902712.0,10.0
54785.0,,1.0
,826249.0,9.0
54764.0,,8.0
54764.0,637614.0,7.0
54758.0,,7.0
,92443.0,1.0
54732.0,,1.0
54728.0,838767.0,9.0
54717.0,,1.0
54677.0,,3.0
54655.0,415076.0,5.0
54652.0,285322.0,3.0
,889009.0,10.0
54588.0,727094.0,8.0
54582.0,853434.0,9.0
,253464.0,3.0
54553.0,,8.0
54544.0,,3.0
54535.0,739067.0,8.0
54526.0,,2.0
54518.0,,9.0
54483.0,736496.0,8.0
54458.0,474371.0,5.0
,632550.0,7.0
54446.0,,6.0
54446.0,,2.0
,821784.0,9.0
,346998.0,4.0
,611396.0,7.0
54406.0,790752.0,9.0
54397.0,,4.0
,321999.0,4.0
54367.0,,4.0
54362.0,610348.0,7.0
,273648.0,3.0
,607047.0,7.0
,725032.0,8.0
54292.0,245975.0,3.0
54286.0,154283.0,2.0
,718218.0,8.0
,196637.0,2.0
54257.0,508002.0,6.0
54240.0,162356.0,2.0
54224.0,266765.0,3.0
54213.0,,3.0
54188.0,,1.0
54186.0,277315.0,3.0
54167.0,,6.0
,940861.0,10.0
,922386.0,10.0
54117.0,75524.0,1.0
54115.0,276456.0,3.0
54108.0,,7.0
54105.0,371985.0,4.0
,815796.0,9.0
,764998.0,8.0
,282603.0,3.0
54073.0,644322.0,7.0
54071.0,239840.0,3.0
54061.0,724265.0,8.0
54051.0,550810.0,6.0
,407194.0,5.0
54044.0,66974.0,1.0
54013.0,252596.0,3.0
54010.0,,7.0
54006.0,731303.0,8.0
,730404.0,8.0
53983.0,578109.0,6.0
,355799.0,4.0
53956.0,901833.0,10.0
53940.0,,1.0
53932.0,133547.0,2.0
53925.0,378511.0,4.0
53925.0,44682.0,1.0
53906.0,,10.0
,432915.0,5.0
53869.0,830949.0,9.0
,619606.0,7.0
53829.0,494180.0,5.0
53828.0,,6.0
53813.0,,5.0
53806.0,381005.0,4.0
53774.0,,6.0
53772.0,,8.0
53761.0,99624.0,1.0
,84620.0,1.0
53711.0,474512.0,5.0
53708.0,,5.0
53696.0,546722.0,6.0
53693.0,100451.0,1.0
53691.0,,6.0
53682.0,95844.0,1.0
53672.0,443937.0,5.0
53667.0,,5.0
,335120.0,4.0
53654.0,829160.0,9.0
53651.0,,5.0
,308188.0,3.0
53619.0,298878.0,3.0
53617.0,867594.0,10.0
53616.0,,9.0
,649488.0,7.0
53599.0,614726.0,7.0
53578.0,88048.0,1.0
,798698.0,9.0
,277210.0,3.0
53521.0,,1.0
53503.0,,7.0
53491.0,431323.0,5.0
53471.0,,7.0
53468.0,262039.0,3.0
,840104.0,9.0
53432.0,196218.0,2.0
53418.0,91038.0,1.0
,163869.0,2.0
,663140.0,7.0
53390.0,,4.0
53387.0,,1.0
53381.0,,5.0
,729214.0,8.0
53358.0,943005.0,10.0
53351.0,,2.0
53346.0,,2.0
,816786.0,9.0
53289.0,,9.0
,727034.0,8.0
53276.0,275588.0,3.0
53266.0,,4.0
53266.0,,3.0
,635445.0,7.0
,502108.0,6.0
,888862.0,10.0
,844349.0,9.0
,433277.0,5.0
53182.0,,2.0
,308738.0,3.0
53176.0,,10.0
53137.0,,3.0
53134.0,334492.0,4.0
53134.0,,3.0
,610156.0,7.0
53115.0,,8.0
53106.0,762702.0,8.0
53062.0,,4.0
,357381.0,4.0
53019.0,442727.0,5.0
,761544.0,8.0
,229757.0,3.0
52983.0,78760.0,1.0
52958.0,835524.0,9.0
52939.0,99902.0,1.0
,81696.0,1.0
52920.0,831702.0,9.0
52919.0,,3.0
,693539.0,8.0
52887.0,889550.0,10.0
52859.0,525760.0,6.0
52846.0,180717.0,2.0
,515464.0,6.0
52810.0,,3.0
52806.0,,5.0
52804.0,228309.0,3.0
52792.0,,7.0
52789.0,392014.0,4.0
52754.0,623218.0,7.0
,648502.0,7.0
,84882.0,1.0
,808816.0,9.0
52726.0,812363.0,9.0
52722.0,,7.0
52673.0,95024.0,1.0
52666.0,,1.0
52633.0,47298.0,1.0
52606.0,767755.0,8.0
52595.0,,1.0
52581.0,714076.0,8.0
52575.0,,9.0
52562.0,597095.0,7.0
,225159.0,3.0
52551.0,626104.0,7.0
52540.0,,6.0
52519.0,200113.0,2.0
52515.0,,5.0
,275824.0,3.0
52488.0,188827.0,2.0
52479.0,,2.0
,138847.0,2.0
52474.0,270165.0,3.0
52450.0,343412.0,4.0
,289253.0,3.0
52428.0,927860.0,10.0
52415.0,319376.0,4.0
52412.0,493728.0,5.0
52410.0,428874.0,5.0
52385.0,343736.0,4.0
52354.0,81299.0,1.0
52318.0,,6.0
,800979.0,9.0
,529694.0,6.0
52292.0,116171.0,1.0
,873833.0,10.0
52278.0,734033.0,8.0
52267.0,637964.0,7.0
52263.0,,9.0
,256428.0,3.0
52183.0,,3.0
52180.0,,4.0
,764454.0,8.0
52158.0,901390.0,10.0
52134.0,,6.0
52077.0,,1.0
52042.0,933807.0,10.0
,919460.0,10.0
51990.0,100683.0,1.0
,165044.0,2.0
51979.0,276466.0,3.0
51973.0,799895.0,9.0
51970.0,,6.0
51954.0,246039.0,3.0
51953.0,589603.0,7.0
51951.0,433952.0,5.0
,308065.0,3.0
51939.0,,5.0
51922.0,,7.0
51913.0,933277.0,10.0
51901.0,,9.0
,199801.0,2.0
,156635.0,2.0
51853.0,,6.0
,753395.0,8.0
51825.0,614201.0,7.0
51811.0,,6.0
51811.0,550522.0,6.0
,902156.0,10.0
,440425.0,5.0
51807.0,362503.0,4.0
51783.0,217497.0,2.0
,951274.0,10.0
51748.0,,9.0
51745.0,,5.0
,912748.0,10.0
51718.0,865718.0,10.0
51717.0,,10.0
,933367.0,10.0
51696.0,383094.0,4.0
,826021.0,9.0
,885381.0,10.0
51652.0,811129.0,9.0
51650.0,,6.0
,399032.0,4.0
51648.0,500128.0,6.0
,852435.0,9.0
,514585.0,6.0
51585.0,356267.0,4.0
51582.0,469849.0,5.0
51558.0,819865.0,9.0
51556.0,,2.0
,454158.0,5.0
51535.0,331430.0,4.0
,244568.0,3.0
51527.0,,7.0
51517.0,578942.0,6.0
51500.0,,5.0
,552374.0,6.0
51480.0,724176.0,8.0
,221793.0,3.0
51418.0,53356.0,1.0
,732482.0,8.0
,732684.0,8.0
51336.0,602403.0,7.0
51319.0,,1.0
51316.0,351255.0,4.0
51302.0,814008.0,9.0
,288092.0,3.0
51291.0,381787.0,4.0
,669932.0,7.0
51243.0,,10.0
,889996.0,10.0
51206.0,748792.0,8.0
,153177.0,2.0
51186.0,,1.0
51149.0,,2.0
51124.0,809945.0,9.0
,186381.0,2.0
51092.0,80831.0,1.0
51053.0,566705.0,6.0
51034.0,559963.0,6.0
51029.0,714156.0,8.0
,436553.0,5.0
,781456.0,9.0
50997.0,,6.0
50997.0,,8.0
50985.0,,3.0
50971.0,,5.0
50968.0,766014.0,8.0
50953.0,109226.0,1.0
,637923.0,7.0
50927.0,513023.0,6.0
,819802.0,9.0
50917.0,,5.0
50903.0,,8.0
50893.0,183704.0,2.0
,336852.0,4.0
50877.0,,8.0
50869.0,,6.0
50861.0,,4.0
,120123.0,1.0
,721718.0,8.0
50802.0,395113.0,4.0
50792.0,185436.0,2.0
,386430.0,4.0
50777.0,94067.0,1.0
,538018.0,6.0
50775.0,462945.0,5.0
50762.0,695736.0,8.0
50756.0,720518.0,8.0
50751.0,,1.0
50727.0,,3.0
,823287.0,9.0
50703.0,520619.0,6.0
50694.0,452262.0,5.0
,187445.0,2.0
50558.0,,2.0
50537.0,438483.0,5.0
50530.0,848174.0,9.0
50524.0,677631.0,7.0
50502.0,,2.0
,772747.0,9.0
50466.0,,8.0
,151849.0,2.0
50454.0,,2.0
50452.0,,1.0
,251338.0,3.0
,334674.0,4.0
50394.0,364735.0,4.0
,750031.0,8.0
,885248.0,10.0
50352.0,,1.0
50346.0,199122.0,2.0
50339.0,,9.0
,593688.0,7.0
,924215.0,10.0
50283.0,385623.0,4.0
,200440.0,2.0
,600001.0,7.0
50258.0,735305.0,8.0
50224.0,,5.0
50206.0,629782.0,7.0
,76920.0,1.0
50170.0,97951.0,1.0
50169.0,717895.0,8.0
50165.0,643908.0,7.0
50146.0,,8.0
,408980.0,5.0
,194391.0,2.0
50085.0,786522.0,9.0
,695014.0,8.0
50066.0,,3.0
,457819.0,5.0
,898770.0,10.0
50048.0,194607.0,2.0
49978.0,,8.0
49976.0,66872.0,1.0
,143308.0,2.0
,884475.0,10.0
,478543.0,5.0
,168883.0,2.0
49950.0,150184.0,2.0
,722130.0,8.0
49940.0,391244.0,4.0
49935.0,,2.0
,447140.0,5.0
,745352.0,8.0
49908.0,,5.0
,400995.0,4.0
49862.0,104224.0,1.0
49854.0,364173.0,4.0
49850.0,270039.0,3.0
49846.0,166342.0,2.0
49846.0,,6.0
,108377.0,1.0
49839.0,,8.0
,442119.0,5.0
49820.0,624071.0,7.0
49812.0,913073.0,10.0
,202765.0,2.0
49808.0,,4.0
,828160.0,9.0
49799.0,363841.0,4.0
49798.0,,7.0
,790928.0,9.0
,425876.0,5.0
49785.0,,8.0
,518552.0,6.0
49770.0,,1.0
49769.0,,9.0
49757.0,,5.0
49744.0,,8.0
49696.0,,1.0
49673.0,605217.0,7.0
49619.0,904307.0,10.0
49605.0,63464.0,1.0
49597.0,,7.0
49593.0,,6.0
,497507.0,6.0
49571.0,,10.0
49555.0,,1.0
49549.0,346188.0,4.0
49526.0,563424.0,6.0
49525.0,,2.0
49510.0,68667.0,1.0
,819974.0,9.0
,914593.0,10.0
49373.0,809387.0,9.0
49361.0,133437.0,2.0
49336.0,841025.0,9.0
49324.0,,1.0
,923156.0,10.0
,647136.0,7.0
49315.0,572992.0,6.0
49281.0,,8.0
49271.0,188011.0,2.0
,49080.0,1.0
49221.0,433107.0,5.0
49210.0,547831.0,6.0
,883875.0,10.0
,818382.0,9.0
49205.0,594276.0,7.0
49197.0,286979.0,3.0
49175.0,,8.0
,814853.0,9.0
49137.0,820643.0,9.0
,738698.0,8.0
49100.0,,5.0
49098.0,,3.0
49073.0,,4.0
49057.0,,4.0
,623478.0,7.0
49045.0,724378.0,8.0
49044.0,,8.0
49016.0,,7.0
49016.0,456167.0,5.0
49006.0,,10.0
48984.0,442636.0,5.0
48981.0,42319.0,1.0
48964.0,382556.0,4.0
48959.0,,1.0
48938.0,652510.0,7.0
48930.0,275169.0,3.0
48902.0,56116.0,1.0
,878399.0,10.0
48899.0,286350.0,3.0
48876.0,311996.0,4.0
48864.0,,8.0
,87726.0,1.0
48856.0,435176.0,5.0
,40712.0,1.0
,210719.0,2.0
48803.0,,1.0
,558986.0,6.0
48784.0,,4.0
,100969.0,1.0
48773.0,917428.0,10.0
48741.0,532330.0,6.0
48725.0,696360.0,8.0
,122140.0,1.0
48702.0,,7.0
48699.0,809653.0,9.0
48696.0,,8.0
,361869.0,4.0
48680.0,646964.0,7.0
48626.0,155209.0,2.0
,749189.0,8.0
48601.0,733169.0,8.0
,737390.0,8.0
48562.0,112846.0,1.0
,198952.0,2.0
48525.0,,9.0
48497.0,,10.0
48483.0,,10.0
,180146.0,2.0
48415.0,425199.0,5.0
48389.0,897601.0,10.0
48383.0,,8.0
48372.0,110701.0,1.0
48360.0,902006.0,10.0
48360.0,786205.0,9.0
48358.0,,3.0
,67825.0,1.0
,169062.0,2.0
48339.0,,4.0
48303.0,719864.0,8.0
48258.0,204854.0,2.0
48255.0,,8.0
48251.0,532219.0,6.0
48229.0,542600.0,6.0
,89405.0,1.0
48146.0,703232.0,8.0
,634132.0,7.0
48129.0,,2.0
,723309.0,8.0
48127.0,,10.0
48022.0,383597.0,4.0
48001.0,,7.0
,411225.0,5.0
47988.0,732446.0,8.0
,829033.0,9.0
47952.0,82864.0,1.0
47928.0,,5.0
,414875.0,5.0
,909891.0,10.0
,268644.0,3.0
47852.0,119468.0,1.0
,275875.0,3.0
47822.0,,3.0
47770.0,,1.0
47764.0,,7.0
,922247.0,10.0
47737.0,,5.0
47726.0,,8.0
47692.0,,7.0
,601157.0,7.0
47687.0,,9.0
,32751.0,1.0
47681.0,64953.0,1.0
47676.0,,9.0
47662.0,550682.0,6.0
47618.0,897792.0,10.0
47593.0,,3.0
,905081.0,10.0
,812599.0,9.0
,93026.0,1.0
47530.0,440487.0,5.0
47495.0,,10.0
47480.0,,1.0
47386.0,363906.0,4.0
47355.0,252949.0,3.0
47347.0,,9.0
47313.0,,5.0
,643270.0,7.0
47283.0,633108.0,7.0
47271.0,348983.0,4.0
47266.0,,3.0
47246.0,441965.0,5.0
,632392.0,7.0
,109738.0,1.0
,286664.0,3.0
47162.0,,1.0
47143.0,249381.0,3.0
47118.0,47146.0,1.0
47115.0,421756.0,5.0
47113.0,,9.0
47055.0,539030.0,6.0
46998.0,904680.0,10.0
46970.0,,10.0
46966.0,732374.0,8.0
46965.0,,3.0
46959.0,909832.0,10.0
,388380.0,4.0
46872.0,784103.0,9.0
46845.0,166342.0,2.0
,460009.0,5.0
,728362.0,8.0
46786.0,915339.0,10.0
46777.0,454905.0,5.0
,78054.0,1.0
46756.0,757512.0,8.0
,231611.0,3.0
46702.0,901985.0,10.0
46694.0,630530.0,7.0
46651.0,,7.0
46640.0,329971.0,4.0
,640428.0,7.0
,130888.0,2.0
46607.0,,2.0
,556065.0,6.0
46574.0,300449.0,3.0
46551.0,,6.0
46549.0,,6.0
,701505.0,8.0
46527.0,,9.0
,294218.0,3.0
,604874.0,7.0
46446.0,,5.0
,497402.0,6.0
46434.0,361561.0,4.0
46421.0,,2.0
46391.0,,9.0
46378.0,454648.0,5.0
,80509.0,1.0
46305.0,,5.0
46295.0,87406.0,1.0
46265.0,,8.0
46155.0,,1.0
,104317.0,1.0
46087.0,,8.0
,659527.0,7.0
46062.0,,8.0
46050.0,214979.0,2.0
,188842.0,2.0
46036.0,,3.0
45974.0,,6.0
45942.0,323930.0,4.0
45934.0,,1.0
,588695.0,7.0
45903.0,407406.0,5.0
,912380.0,10.0
45867.0,,2.0
,137021.0,2.0
45784.0,64226.0,1.0
45765.0,525847.0,6.0
45755.0,,3.0
45717.0,298740.0,3.0
45714.0,178287.0,2.0
,164864.0,2.0
45698.0,452159.0,5.0
45666.0,,6.0
45650.0,,10.0
,803221.0,9.0
45628.0,,8.0
,751401.0,8.0
45583.0,,8.0
45538.0,,2.0
45535.0,829796.0,9.0
45531.0,,4.0
45512.0,,1.0
,348476.0,4.0
45388.0,587668.0,6.0
,464355.0,5.0
,324409.0,4.0
,572352.0,6.0
,884989.0,10.0
,787253.0,9.0
45288.0,534896.0,6.0
45277.0,468868.0,5.0
45246.0,,3.0
,570736.0,6.0
45204.0,255427.0,3.0
45190.0,725200.0,8.0
,275048.0,3.0
45159.0,,2.0
45154.0,,8.0
,245427.0,3.0
,814246.0,9.0
,645766.0,7.0
45103.0,,7.0
45025.0,88714.0,1.0
45023.0,366362.0,4.0
45021.0,,6.0
,501612.0,6.0
,243927.0,3.0
44904.0,637469.0,7.0
44887.0,,8.0
44882.0,625252.0,7.0
44882.0,239386.0,3.0
44855.0,452254.0,5.0
44803.0,,8.0
44799.0,,10.0
44798.0,387797.0,4.0
44746.0,,2.0
44738.0,803622.0,9.0
,817151.0,9.0
44726.0,86483.0,1.0
44590.0,,3.0
44589.0,387706.0,4.0
44547.0,,4.0
44516.0,,5.0
44484.0,,1.0
44475.0,553138.0,6.0
44390.0,,7.0
44379.0,75206.0,1.0
44354.0,,10.0
44331.0,821617.0,9.0
44321.0,,10.0
44299.0,,4.0
44272.0,156197.0,2.0
,366556.0,4.0
44239.0,,8.0
44232.0,170298.0,2.0
44230.0,464852.0,5.0
44174.0,749611.0,8.0
44168.0,,6.0
,883417.0,10.0
44105.0,363039.0,4.0
44035.0,,4.0
44018.0,577130.0,6.0
44009.0,933343.0,10.0
44002.0,353330.0,4.0
43997.0,153388.0,2.0
,86916.0,1.0
43955.0,,1.0
43940.0,845043.0,9.0
,71631.0,1.0
,561088.0,6.0
43909.0,52779.0,1.0
43880.0,536072.0,6.0
43877.0,481047.0,5.0
43867.0,,7.0
,799344.0,9.0
43825.0,,5.0
43814.0,,4.0
43766.0,,4.0
,367119.0,4.0
43739.0,448048.0,5.0
43736.0,75747.0,1.0
43716.0,,2.0
,800554.0,9.0
43712.0,668231.0,7.0
43671.0,,4.0
,805300.0,9.0
43637.0,,10.0
,688214.0,8.0
43595.0,668128.0,7.0
,547554.0,6.0
43551.0,,8.0
43541.0,,3.0
,358396.0,4.0
43535.0,600101.0,7.0
43510.0,87952.0,1.0
,564686.0,6.0
43445.0,,9.0
,876186.0,10.0
43425.0,,6.0
43425.0,899337.0,10.0
43352.0,371417.0,4.0
,643568.0,7.0
43336.0,,8.0
43333.0,,7.0
43317.0,608521.0,7.0
43305.0,831366.0,9.0
43279.0,180062.0,2.0
43255.0,,9.0
43254.0,529455.0,6.0
43232.0,261118.0,3.0
43196.0,440521.0,5.0
43179.0,558977.0,6.0
,828449.0,9.0
43133.0,,9.0
43128.0,,7.0
43112.0,937556.0,10.0
43106.0,960103.0,10.0
,846859.0,9.0
43064.0,,7.0
,248574.0,3.0
,681439.0,8.0
43009.0,,10.0
42913.0,,7.0
,717523.0,8.0
42881.0,160883.0,2.0
42869.0,460750.0,5.0
42824.0,,9.0
42808.0,356744.0,4.0
42782.0,859065.0,9.0
,909246.0,10.0
42712.0,790958.0,9.0
42657.0,,8.0
,902405.0,10.0
42625.0,,2.0
42617.0,43128.0,1.0
42602.0,750970.0,8.0
42601.0,765467.0,8.0
,818070.0,9.0
42522.0,,10.0
42510.0,350626.0,4.0
42509.0,206322.0,2.0
42426.0,,5.0
,146424.0,2.0
,892629.0,10.0
,739060.0,8.0
42246.0,629717.0,7.0
42241.0,,6.0
42240.0,,3.0
42231.0,,4.0
42186.0,794235.0,9.0
42165.0,838286.0,9.0
42163.0,,5.0
42145.0,309953.0,3.0
42144.0,275925.0,3.0
,848241.0,9.0
42087.0,,3.0
42068.0,,5.0
42058.0,,6.0
,721288.0,8.0
42054.0,,7.0
,833614.0,9.0
,220120.0,3.0
42011.0,922545.0,10.0
41962.0,,2.0
41941.0,,8.0
41896.0,,5.0
,195204.0,2.0
,572244.0,6.0
,429781.0,5.0
41831.0,,2.0
41823.0,,7.0
,310273.0,3.0
41780.0,240678.0,3.0
41746.0,803947.0,9.0
,88960.0,1.0
41705.0,265093.0,3.0
41684.0,550100.0,6.0
41533.0,,9.0
41521.0,,7.0
41503.0,,9.0
41475.0,260168.0,3.0
41468.0,806464.0,9.0
41457.0,506818.0,6.0
,83106.0,1.0
41436.0,612294.0,7.0
41426.0,,1.0
41323.0,918335.0,10.0
,230276.0,3.0
,157544.0,2.0
41262.0,,7.0
,566489.0,6.0
41236.0,,7.0
41218.0,,2.0
41183.0,,2.0
,759592.0,8.0
41157.0,,2.0
41137.0,219300.0,3.0
41130.0,294788.0,3.0
41090.0,827857.0,9.0
41088.0,891232.0,10.0
41085.0,165606.0,2.0
41078.0,698823.0,8.0
41070.0,915956.0,10.0
,268420.0,3.0
41022.0,,8.0
,416444.0,5.0
41009.0,811155.0,9.0
40998.0,,6.0
40993.0,,6.0
,907634.0,10.0
40985.0,,7.0
40952.0,,2.0
,354355.0,4.0
40918.0,628937.0,7.0
40887.0,,1.0
40821.0,528779.0,6.0
40793.0,632895.0,7.0
40780.0,,3.0
,152307.0,2.0
,627313.0,7.0
40682.0,349599.0,4.0
40618.0,466987.0,5.0
40595.0,574582.0,6.0
40463.0,750685.0,8.0
40445.0,,3.0
40434.0,,2.0
40427.0,,10.0
40422.0,,5.0
40409.0,548527.0,6.0
40390.0,923294.0,10.0
40382.0,,1.0
40374.0,676420.0,7.0
,737683.0,8.0
40335.0,,4.0
,78371.0,1.0
40310.0,,4.0
40299.0,590198.0,7.0
,282540.0,3.0
,546034.0,6.0
40257.0,737672.0,8.0
40255.0,,1.0
40241.0,732311.0,8.0
40204.0,813234.0,9.0
40183.0,173815.0,2.0
,342713.0,4.0
40173.0,831691.0,9.0
40170.0,,9.0
,671474.0,7.0
,77544.0,1.0
,803903.0,9.0
,938729.0,10.0
40026.0,894373.0,10.0
40018.0,,4.0
40017.0,271268.0,3.0
,698739.0,8.0
,367465.0,4.0
